4.223	0	-0.42
4.143	0	0.36
4.063	0	1.06
3.813	0	1.75
3.373	0	2.45
3.013	0	3.03
2.483	0	3.49
1.843	0	3.84
1.173	0	4.06
0.503	0	4.21
-0.187	0	4.24
-0.887	0	4.19
-1.457	0	4.01
-2.087	0	3.68
-2.687	0	3.39
-3.157	0	2.98
-3.527	0	2.39
-3.777	0	1.84
-4.037	0	1.15
-4.157	0	0.43
-4.107	0	-0.31
-3.977	0	-1.02
-3.787	0	-1.77
-3.457	0	-2.53
-2.997	0	-2.96
-2.407	0	-3.47
-1.807	0	-3.9
-1.157	0	-4.13
-0.397	0	-4.3
0.383	0	-4.19
1.253	0	-4.11
1.893	0	-3.83
2.623	0	-3.39
3.143	0	-2.81
3.593	0	-2.17
3.923	0	-1.42
